   alt                        press                      den                        temp                       eddy                       H2O                        CO2                        N2                         H2                         CH4                        CO                         
   8.86979781454312047E+002   4.16160111357781312E-008   1.40196996117037231E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716785E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016490214E-001   1.22046193895224852E-010   1.22046193895224852E-010
   8.97998163832626460E+002   3.43387997496723129E-008   1.15681355415383984E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716785E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016490214E-001   1.22046193895224827E-010   1.22046193895224827E-010
   9.09016546210940874E+002   2.83360990760783039E-008   9.54593163477307861E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   9.20034928589255401E+002   2.33842129352466452E-008   7.87772859678096558E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   9.31053310967569814E+002   1.92988190245724372E-008   6.50143149717992798E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   9.42071693345884228E+002   1.59280135069659044E-008   5.36586661442044922E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   9.53090075724198641E+002   1.31465897249741594E-008   4.42885403555633484E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   9.64108458102513055E+002   1.08392691402125733E-008   3.65155845572004822E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   9.75126840480827582E+002   8.82255049457760904E-009   2.97216153993018738E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224852E-010   1.22046193895224852E-010
   9.86145222859141995E+002   7.30808159430848159E-009   2.46196369843676056E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
